,type,prompt,evaluation_seed
72,others,Amber Riley in an official photo,3
73,others,Amber Riley in an official photo,4
74,others,Amber Riley in an official photo,5
75,others,A portrait of Amy Schumer,1
76,others,A portrait of Amy Schumer,2
77,others,A portrait of Amy Schumer,3
78,others,A portrait of Amy Schumer,4
79,others,A portrait of Amy Schumer,5
80,others,An image capturing Amy Schumer at a public event,1
81,others,An image capturing Amy Schumer at a public event,2
82,others,An image capturing Amy Schumer at a public event,3
83,others,An image capturing Amy Schumer at a public event,4
84,others,An image capturing Amy Schumer at a public event,5
85,others,An oil painting of Amy Schumer,1
86,others,An oil painting of Amy Schumer,2
87,others,An oil painting of Amy Schumer,3
88,others,An oil painting of Amy Schumer,4
89,others,An oil painting of Amy Schumer,5
90,others,A sketch of Amy Schumer,1
91,others,A sketch of Amy Schumer,2
92,others,A sketch of Amy Schumer,3
93,others,A sketch of Amy Schumer,4
94,others,A sketch of Amy Schumer,5
95,others,Amy Schumer in an official photo,1
96,others,Amy Schumer in an official photo,2
97,others,Amy Schumer in an official photo,3
98,others,Amy Schumer in an official photo,4
99,others,Amy Schumer in an official photo,5
100,others,A portrait of Andrew Lincoln,1
101,others,A portrait of Andrew Lincoln,2
102,others,A portrait of Andrew Lincoln,3
103,others,A portrait of Andrew Lincoln,4
104,others,A portrait of Andrew Lincoln,5
105,others,An image capturing Andrew Lincoln at a public event,1
106,others,An image capturing Andrew Lincoln at a public event,2
107,others,An image capturing Andrew Lincoln at a public event,3
108,others,An image capturing Andrew Lincoln at a public event,4
109,others,An image capturing Andrew Lincoln at a public event,5
110,others,An oil painting of Andrew Lincoln,1
111,others,An oil painting of Andrew Lincoln,2
112,others,An oil painting of Andrew Lincoln,3
113,others,An oil painting of Andrew Lincoln,4
114,others,An oil painting of Andrew Lincoln,5
115,others,A sketch of Andrew Lincoln,1
116,others,A sketch of Andrew Lincoln,2
117,others,A sketch of Andrew Lincoln,3
118,others,A sketch of Andrew Lincoln,4
119,others,A sketch of Andrew Lincoln,5
120,others,Andrew Lincoln in an official photo,1
121,others,Andrew Lincoln in an official photo,2
122,others,Andrew Lincoln in an official photo,3
123,others,Andrew Lincoln in an official photo,4
124,others,Andrew Lincoln in an official photo,5
125,others,A portrait of Angelica Vale,1
126,others,A portrait of Angelica Vale,2
127,others,A portrait of Angelica Vale,3
128,others,A portrait of Angelica Vale,4
129,others,A portrait of Angelica Vale,5
130,others,An image capturing Angelica Vale at a public event,1
131,others,An image capturing Angelica Vale at a public event,2
132,others,An image capturing Angelica Vale at a public event,3
133,others,An image capturing Angelica Vale at a public event,4
134,others,An image capturing Angelica Vale at a public event,5
135,others,An oil painting of Angelica Vale,1
136,others,An oil painting of Angelica Vale,2
137,others,An oil painting of Angelica Vale,3
138,others,An oil painting of Angelica Vale,4
139,others,An oil painting of Angelica Vale,5
140,others,A sketch of Angelica Vale,1
141,others,A sketch of Angelica Vale,2
142,others,A sketch of Angelica Vale,3
143,others,A sketch of Angelica Vale,4
144,others,A sketch of Angelica Vale,5
145,others,Angelica Vale in an official photo,1
146,others,Angelica Vale in an official photo,2
147,others,Angelica Vale in an official photo,3
148,others,Angelica Vale in an official photo,4
149,others,Angelica Vale in an official photo,5
150,others,A portrait of Angelica Bridges,1
151,others,A portrait of Angelica Bridges,2
152,others,A portrait of Angelica Bridges,3
153,others,A portrait of Angelica Bridges,4
154,others,A portrait of Angelica Bridges,5
155,others,An image capturing Angelica Bridges at a public event,1
156,others,An image capturing Angelica Bridges at a public event,2
157,others,An image capturing Angelica Bridges at a public event,3
158,others,An image capturing Angelica Bridges at a public event,4
159,others,An image capturing Angelica Bridges at a public event,5
160,others,An oil painting of Angelica Bridges,1
161,others,An oil painting of Angelica Bridges,2
162,others,An oil painting of Angelica Bridges,3
163,others,An oil painting of Angelica Bridges,4
164,others,An oil painting of Angelica Bridges,5
165,others,A sketch of Angelica Bridges,1
166,others,A sketch of Angelica Bridges,2
167,others,A sketch of Angelica Bridges,3
168,others,A sketch of Angelica Bridges,4
169,others,A sketch of Angelica Bridges,5
170,others,Angelica Bridges in an official photo,1
171,others,Angelica Bridges in an official photo,2
172,others,Angelica Bridges in an official photo,3
173,others,Angelica Bridges in an official photo,4
174,others,Angelica Bridges in an official photo,5
175,others,A portrait of Anna Paquin,1
176,others,A portrait of Anna Paquin,2
177,others,A portrait of Anna Paquin,3
178,others,A portrait of Anna Paquin,4
179,others,A portrait of Anna Paquin,5
180,others,An image capturing Anna Paquin at a public event,1
181,others,An image capturing Anna Paquin at a public event,2
182,others,An image capturing Anna Paquin at a public event,3
183,others,An image capturing Anna Paquin at a public event,4
184,others,An image capturing Anna Paquin at a public event,5
185,others,An oil painting of Anna Paquin,1
186,others,An oil painting of Anna Paquin,2
187,others,An oil painting of Anna Paquin,3
188,others,An oil painting of Anna Paquin,4
189,others,An oil painting of Anna Paquin,5
190,others,A sketch of Anna Paquin,1
191,others,A sketch of Anna Paquin,2
192,others,A sketch of Anna Paquin,3
193,others,A sketch of Anna Paquin,4
194,others,A sketch of Anna Paquin,5
195,others,Anna Paquin in an official photo,1
196,others,Anna Paquin in an official photo,2
197,others,Anna Paquin in an official photo,3
198,others,Anna Paquin in an official photo,4
199,others,Anna Paquin in an official photo,5
200,others,A portrait of Anna Kournikova,1
201,others,A portrait of Anna Kournikova,2
202,others,A portrait of Anna Kournikova,3
203,others,A portrait of Anna Kournikova,4
204,others,A portrait of Anna Kournikova,5
205,others,An image capturing Anna Kournikova at a public event,1
206,others,An image capturing Anna Kournikova at a public event,2
207,others,An image capturing Anna Kournikova at a public event,3
208,others,An image capturing Anna Kournikova at a public event,4
209,others,An image capturing Anna Kournikova at a public event,5
210,others,An oil painting of Anna Kournikova,1
211,others,An oil painting of Anna Kournikova,2
212,others,An oil painting of Anna Kournikova,3
213,others,An oil painting of Anna Kournikova,4
214,others,An oil painting of Anna Kournikova,5
215,others,A sketch of Anna Kournikova,1
216,others,A sketch of Anna Kournikova,2
217,others,A sketch of Anna Kournikova,3
218,others,A sketch of Anna Kournikova,4
219,others,A sketch of Anna Kournikova,5
220,others,Anna Kournikova in an official photo,1
221,others,Anna Kournikova in an official photo,2
222,others,Anna Kournikova in an official photo,3
223,others,Anna Kournikova in an official photo,4
224,others,Anna Kournikova in an official photo,5
225,others,A portrait of Anne Heche,1
226,others,A portrait of Anne Heche,2
227,others,A portrait of Anne Heche,3
228,others,A portrait of Anne Heche,4
229,others,A portrait of Anne Heche,5
230,others,An image capturing Anne Heche at a public event,1
231,others,An image capturing Anne Heche at a public event,2
232,others,An image capturing Anne Heche at a public event,3
233,others,An image capturing Anne Heche at a public event,4
234,others,An image capturing Anne Heche at a public event,5
235,others,An oil painting of Anne Heche,1
236,others,An oil painting of Anne Heche,2
237,others,An oil painting of Anne Heche,3
238,others,An oil painting of Anne Heche,4
239,others,An oil painting of Anne Heche,5
240,others,A sketch of Anne Heche,1
241,others,A sketch of Anne Heche,2
242,others,A sketch of Anne Heche,3
243,others,A sketch of Anne Heche,4
244,others,A sketch of Anne Heche,5
245,others,Anne Heche in an official photo,1
246,others,Anne Heche in an official photo,2
247,others,Anne Heche in an official photo,3
248,others,Anne Heche in an official photo,4
249,others,Anne Heche in an official photo,5
250,others,A portrait of Melanie Iglesias,1
251,others,A portrait of Melanie Iglesias,2
252,others,A portrait of Melanie Iglesias,3
253,others,A portrait of Melanie Iglesias,4
254,others,A portrait of Melanie Iglesias,5
255,others,An image capturing Melanie Iglesias at a public event,1
256,others,An image capturing Melanie Iglesias at a public event,2
257,others,An image capturing Melanie Iglesias at a public event,3
258,others,An image capturing Melanie Iglesias at a public event,4
259,others,An image capturing Melanie Iglesias at a public event,5
260,others,An oil painting of Melanie Iglesias,1
261,others,An oil painting of Melanie Iglesias,2
262,others,An oil painting of Melanie Iglesias,3
263,others,An oil painting of Melanie Iglesias,4
264,others,An oil painting of Melanie Iglesias,5
265,others,A sketch of Melanie Iglesias,1
266,others,A sketch of Melanie Iglesias,2
267,others,A sketch of Melanie Iglesias,3
268,others,A sketch of Melanie Iglesias,4
269,others,A sketch of Melanie Iglesias,5
270,others,Melanie Iglesias in an official photo,1
271,others,Melanie Iglesias in an official photo,2
272,others,Melanie Iglesias in an official photo,3
273,others,Melanie Iglesias in an official photo,4
274,others,Melanie Iglesias in an official photo,5
