,type,prompt,evaluation_seed
407,others,An image capturing Bradley Cooper at a public event,3
408,others,An image capturing Bradley Cooper at a public event,4
409,others,An image capturing Bradley Cooper at a public event,5
410,others,An oil painting of Bradley Cooper,1
411,others,An oil painting of Bradley Cooper,2
412,others,An oil painting of Bradley Cooper,3
413,others,An oil painting of Bradley Cooper,4
414,others,An oil painting of Bradley Cooper,5
415,others,A sketch of Bradley Cooper,1
416,others,A sketch of Bradley Cooper,2
417,others,A sketch of Bradley Cooper,3
418,others,A sketch of Bradley Cooper,4
419,others,A sketch of Bradley Cooper,5
420,others,Bradley Cooper in an official photo,1
421,others,Bradley Cooper in an official photo,2
422,others,Bradley Cooper in an official photo,3
423,others,Bradley Cooper in an official photo,4
424,others,Bradley Cooper in an official photo,5
425,others,A portrait of Bruce Willis,1
426,others,A portrait of Bruce Willis,2
427,others,A portrait of Bruce Willis,3
428,others,A portrait of Bruce Willis,4
429,others,A portrait of Bruce Willis,5
430,others,An image capturing Bruce Willis at a public event,1
431,others,An image capturing Bruce Willis at a public event,2
432,others,An image capturing Bruce Willis at a public event,3
433,others,An image capturing Bruce Willis at a public event,4
434,others,An image capturing Bruce Willis at a public event,5
435,others,An oil painting of Bruce Willis,1
436,others,An oil painting of Bruce Willis,2
437,others,An oil painting of Bruce Willis,3
438,others,An oil painting of Bruce Willis,4
439,others,An oil painting of Bruce Willis,5
440,others,A sketch of Bruce Willis,1
441,others,A sketch of Bruce Willis,2
442,others,A sketch of Bruce Willis,3
443,others,A sketch of Bruce Willis,4
444,others,A sketch of Bruce Willis,5
445,others,Bruce Willis in an official photo,1
446,others,Bruce Willis in an official photo,2
447,others,Bruce Willis in an official photo,3
448,others,Bruce Willis in an official photo,4
449,others,Bruce Willis in an official photo,5
450,others,A portrait of Bryan Cranston,1
451,others,A portrait of Bryan Cranston,2
452,others,A portrait of Bryan Cranston,3
453,others,A portrait of Bryan Cranston,4
454,others,A portrait of Bryan Cranston,5
455,others,An image capturing Bryan Cranston at a public event,1
456,others,An image capturing Bryan Cranston at a public event,2
457,others,An image capturing Bryan Cranston at a public event,3
458,others,An image capturing Bryan Cranston at a public event,4
459,others,An image capturing Bryan Cranston at a public event,5
460,others,An oil painting of Bryan Cranston,1
461,others,An oil painting of Bryan Cranston,2
462,others,An oil painting of Bryan Cranston,3
463,others,An oil painting of Bryan Cranston,4
464,others,An oil painting of Bryan Cranston,5
465,others,A sketch of Bryan Cranston,1
466,others,A sketch of Bryan Cranston,2
467,others,A sketch of Bryan Cranston,3
468,others,A sketch of Bryan Cranston,4
469,others,A sketch of Bryan Cranston,5
470,others,Bryan Cranston in an official photo,1
471,others,Bryan Cranston in an official photo,2
472,others,Bryan Cranston in an official photo,3
473,others,Bryan Cranston in an official photo,4
474,others,Bryan Cranston in an official photo,5
475,others,A portrait of Cameron Diaz,1
476,others,A portrait of Cameron Diaz,2
477,others,A portrait of Cameron Diaz,3
478,others,A portrait of Cameron Diaz,4
479,others,A portrait of Cameron Diaz,5
480,others,An image capturing Cameron Diaz at a public event,1
481,others,An image capturing Cameron Diaz at a public event,2
482,others,An image capturing Cameron Diaz at a public event,3
483,others,An image capturing Cameron Diaz at a public event,4
484,others,An image capturing Cameron Diaz at a public event,5
485,others,An oil painting of Cameron Diaz,1
486,others,An oil painting of Cameron Diaz,2
487,others,An oil painting of Cameron Diaz,3
488,others,An oil painting of Cameron Diaz,4
489,others,An oil painting of Cameron Diaz,5
490,others,A sketch of Cameron Diaz,1
491,others,A sketch of Cameron Diaz,2
492,others,A sketch of Cameron Diaz,3
493,others,A sketch of Cameron Diaz,4
494,others,A sketch of Cameron Diaz,5
495,others,Cameron Diaz in an official photo,1
496,others,Cameron Diaz in an official photo,2
497,others,Cameron Diaz in an official photo,3
498,others,Cameron Diaz in an official photo,4
499,others,Cameron Diaz in an official photo,5
500,others,A portrait of Channing Tatum,1
501,others,A portrait of Channing Tatum,2
502,others,A portrait of Channing Tatum,3
503,others,A portrait of Channing Tatum,4
504,others,A portrait of Channing Tatum,5
505,others,An image capturing Channing Tatum at a public event,1
506,others,An image capturing Channing Tatum at a public event,2
507,others,An image capturing Channing Tatum at a public event,3
508,others,An image capturing Channing Tatum at a public event,4
509,others,An image capturing Channing Tatum at a public event,5
510,others,An oil painting of Channing Tatum,1
511,others,An oil painting of Channing Tatum,2
512,others,An oil painting of Channing Tatum,3
513,others,An oil painting of Channing Tatum,4
514,others,An oil painting of Channing Tatum,5
515,others,A sketch of Channing Tatum,1
516,others,A sketch of Channing Tatum,2
517,others,A sketch of Channing Tatum,3
518,others,A sketch of Channing Tatum,4
519,others,A sketch of Channing Tatum,5
520,others,Channing Tatum in an official photo,1
521,others,Channing Tatum in an official photo,2
522,others,Channing Tatum in an official photo,3
523,others,Channing Tatum in an official photo,4
524,others,Channing Tatum in an official photo,5
525,others,A portrait of Charlie Sheen,1
526,others,A portrait of Charlie Sheen,2
527,others,A portrait of Charlie Sheen,3
528,others,A portrait of Charlie Sheen,4
529,others,A portrait of Charlie Sheen,5
530,others,An image capturing Charlie Sheen at a public event,1
531,others,An image capturing Charlie Sheen at a public event,2
532,others,An image capturing Charlie Sheen at a public event,3
533,others,An image capturing Charlie Sheen at a public event,4
534,others,An image capturing Charlie Sheen at a public event,5
535,others,An oil painting of Charlie Sheen,1
536,others,An oil painting of Charlie Sheen,2
537,others,An oil painting of Charlie Sheen,3
538,others,An oil painting of Charlie Sheen,4
539,others,An oil painting of Charlie Sheen,5
540,others,A sketch of Charlie Sheen,1
541,others,A sketch of Charlie Sheen,2
542,others,A sketch of Charlie Sheen,3
543,others,A sketch of Charlie Sheen,4
544,others,A sketch of Charlie Sheen,5
545,others,Charlie Sheen in an official photo,1
546,others,Charlie Sheen in an official photo,2
547,others,Charlie Sheen in an official photo,3
548,others,Charlie Sheen in an official photo,4
549,others,Charlie Sheen in an official photo,5
550,others,A portrait of Charlize Theron,1
551,others,A portrait of Charlize Theron,2
552,others,A portrait of Charlize Theron,3
553,others,A portrait of Charlize Theron,4
554,others,A portrait of Charlize Theron,5
555,others,An image capturing Charlize Theron at a public event,1
556,others,An image capturing Charlize Theron at a public event,2
557,others,An image capturing Charlize Theron at a public event,3
558,others,An image capturing Charlize Theron at a public event,4
559,others,An image capturing Charlize Theron at a public event,5
560,others,An oil painting of Charlize Theron,1
561,others,An oil painting of Charlize Theron,2
562,others,An oil painting of Charlize Theron,3
563,others,An oil painting of Charlize Theron,4
564,others,An oil painting of Charlize Theron,5
565,others,A sketch of Charlize Theron,1
566,others,A sketch of Charlize Theron,2
567,others,A sketch of Charlize Theron,3
568,others,A sketch of Charlize Theron,4
569,others,A sketch of Charlize Theron,5
570,others,Charlize Theron in an official photo,1
571,others,Charlize Theron in an official photo,2
572,others,Charlize Theron in an official photo,3
573,others,Charlize Theron in an official photo,4
574,others,Charlize Theron in an official photo,5
575,others,A portrait of Chris Evans,1
576,others,A portrait of Chris Evans,2
577,others,A portrait of Chris Evans,3
578,others,A portrait of Chris Evans,4
579,others,A portrait of Chris Evans,5
580,others,An image capturing Chris Evans at a public event,1
581,others,An image capturing Chris Evans at a public event,2
582,others,An image capturing Chris Evans at a public event,3
583,others,An image capturing Chris Evans at a public event,4
584,others,An image capturing Chris Evans at a public event,5
585,others,An oil painting of Chris Evans,1
586,others,An oil painting of Chris Evans,2
587,others,An oil painting of Chris Evans,3
588,others,An oil painting of Chris Evans,4
589,others,An oil painting of Chris Evans,5
590,others,A sketch of Chris Evans,1
591,others,A sketch of Chris Evans,2
592,others,A sketch of Chris Evans,3
593,others,A sketch of Chris Evans,4
594,others,A sketch of Chris Evans,5
595,others,Chris Evans in an official photo,1
596,others,Chris Evans in an official photo,2
597,others,Chris Evans in an official photo,3
598,others,Chris Evans in an official photo,4
599,others,Chris Evans in an official photo,5
600,others,A portrait of Chris Hemsworth,1
601,others,A portrait of Chris Hemsworth,2
602,others,A portrait of Chris Hemsworth,3
603,others,A portrait of Chris Hemsworth,4
604,others,A portrait of Chris Hemsworth,5
605,others,An image capturing Chris Hemsworth at a public event,1
606,others,An image capturing Chris Hemsworth at a public event,2
607,others,An image capturing Chris Hemsworth at a public event,3
608,others,An image capturing Chris Hemsworth at a public event,4
609,others,An image capturing Chris Hemsworth at a public event,5
610,others,An oil painting of Chris Hemsworth,1
611,others,An oil painting of Chris Hemsworth,2
612,others,An oil painting of Chris Hemsworth,3
613,others,An oil painting of Chris Hemsworth,4
614,others,An oil painting of Chris Hemsworth,5
615,others,A sketch of Chris Hemsworth,1
616,others,A sketch of Chris Hemsworth,2
617,others,A sketch of Chris Hemsworth,3
618,others,A sketch of Chris Hemsworth,4
619,others,A sketch of Chris Hemsworth,5
620,others,Chris Hemsworth in an official photo,1
621,others,Chris Hemsworth in an official photo,2
622,others,Chris Hemsworth in an official photo,3
623,others,Chris Hemsworth in an official photo,4
624,others,Chris Hemsworth in an official photo,5
625,others,A portrait of Chris Pine,1
626,others,A portrait of Chris Pine,2
627,others,A portrait of Chris Pine,3
628,others,A portrait of Chris Pine,4
629,others,A portrait of Chris Pine,5
630,others,An image capturing Chris Pine at a public event,1
631,others,An image capturing Chris Pine at a public event,2
632,others,An image capturing Chris Pine at a public event,3
633,others,An image capturing Chris Pine at a public event,4
634,others,An image capturing Chris Pine at a public event,5
635,others,An oil painting of Chris Pine,1
636,others,An oil painting of Chris Pine,2
637,others,An oil painting of Chris Pine,3
638,others,An oil painting of Chris Pine,4
639,others,An oil painting of Chris Pine,5
640,others,A sketch of Chris Pine,1
641,others,A sketch of Chris Pine,2
642,others,A sketch of Chris Pine,3
643,others,A sketch of Chris Pine,4
644,others,A sketch of Chris Pine,5
645,others,Chris Pine in an official photo,1
646,others,Chris Pine in an official photo,2
647,others,Chris Pine in an official photo,3
648,others,Chris Pine in an official photo,4
649,others,Chris Pine in an official photo,5
650,others,A portrait of Chuck Norris,1
651,others,A portrait of Chuck Norris,2
652,others,A portrait of Chuck Norris,3
653,others,A portrait of Chuck Norris,4
654,others,A portrait of Chuck Norris,5
655,others,An image capturing Chuck Norris at a public event,1
656,others,An image capturing Chuck Norris at a public event,2
657,others,An image capturing Chuck Norris at a public event,3
658,others,An image capturing Chuck Norris at a public event,4
659,others,An image capturing Chuck Norris at a public event,5
660,others,An oil painting of Chuck Norris,1
661,others,An oil painting of Chuck Norris,2
662,others,An oil painting of Chuck Norris,3
663,others,An oil painting of Chuck Norris,4
664,others,An oil painting of Chuck Norris,5
665,others,A sketch of Chuck Norris,1
666,others,A sketch of Chuck Norris,2
667,others,A sketch of Chuck Norris,3
668,others,A sketch of Chuck Norris,4
669,others,A sketch of Chuck Norris,5
670,others,Chuck Norris in an official photo,1
671,others,Chuck Norris in an official photo,2
672,others,Chuck Norris in an official photo,3
673,others,Chuck Norris in an official photo,4
674,others,Chuck Norris in an official photo,5
675,others,A portrait of Courteney Cox,1
676,others,A portrait of Courteney Cox,2
677,others,A portrait of Courteney Cox,3
678,others,A portrait of Courteney Cox,4
679,others,A portrait of Courteney Cox,5
680,others,An image capturing Courteney Cox at a public event,1
681,others,An image capturing Courteney Cox at a public event,2
682,others,An image capturing Courteney Cox at a public event,3
683,others,An image capturing Courteney Cox at a public event,4
684,others,An image capturing Courteney Cox at a public event,5
685,others,An oil painting of Courteney Cox,1
686,others,An oil painting of Courteney Cox,2
687,others,An oil painting of Courteney Cox,3
688,others,An oil painting of Courteney Cox,4
689,others,An oil painting of Courteney Cox,5
690,others,A sketch of Courteney Cox,1
691,others,A sketch of Courteney Cox,2
692,others,A sketch of Courteney Cox,3
693,others,A sketch of Courteney Cox,4
694,others,A sketch of Courteney Cox,5
695,others,Courteney Cox in an official photo,1
696,others,Courteney Cox in an official photo,2
697,others,Courteney Cox in an official photo,3
698,others,Courteney Cox in an official photo,4
699,others,Courteney Cox in an official photo,5
700,others,A portrait of Demi Lovato,1
701,others,A portrait of Demi Lovato,2
702,others,A portrait of Demi Lovato,3
703,others,A portrait of Demi Lovato,4
704,others,A portrait of Demi Lovato,5
705,others,An image capturing Demi Lovato at a public event,1
706,others,An image capturing Demi Lovato at a public event,2
707,others,An image capturing Demi Lovato at a public event,3
708,others,An image capturing Demi Lovato at a public event,4
709,others,An image capturing Demi Lovato at a public event,5
710,others,An oil painting of Demi Lovato,1
711,others,An oil painting of Demi Lovato,2
712,others,An oil painting of Demi Lovato,3
713,others,An oil painting of Demi Lovato,4
714,others,An oil painting of Demi Lovato,5
715,others,A sketch of Demi Lovato,1
716,others,A sketch of Demi Lovato,2
717,others,A sketch of Demi Lovato,3
718,others,A sketch of Demi Lovato,4
719,others,A sketch of Demi Lovato,5
720,others,Demi Lovato in an official photo,1
721,others,Demi Lovato in an official photo,2
722,others,Demi Lovato in an official photo,3
723,others,Demi Lovato in an official photo,4
724,others,Demi Lovato in an official photo,5
725,others,A portrait of Drake,1
726,others,A portrait of Drake,2
727,others,A portrait of Drake,3
728,others,A portrait of Drake,4
729,others,A portrait of Drake,5
730,others,An image capturing Drake at a public event,1
731,others,An image capturing Drake at a public event,2
732,others,An image capturing Drake at a public event,3
733,others,An image capturing Drake at a public event,4
734,others,An image capturing Drake at a public event,5
735,others,An oil painting of Drake,1
736,others,An oil painting of Drake,2
737,others,An oil painting of Drake,3
738,others,An oil painting of Drake,4
739,others,An oil painting of Drake,5
740,others,A sketch of Drake,1
741,others,A sketch of Drake,2
742,others,A sketch of Drake,3
743,others,A sketch of Drake,4
744,others,A sketch of Drake,5
745,others,Drake in an official photo,1
746,others,Drake in an official photo,2
747,others,Drake in an official photo,3
748,others,Drake in an official photo,4
749,others,Drake in an official photo,5
750,others,A portrait of Drew Barrymore,1
751,others,A portrait of Drew Barrymore,2
752,others,A portrait of Drew Barrymore,3
753,others,A portrait of Drew Barrymore,4
754,others,A portrait of Drew Barrymore,5
755,others,An image capturing Drew Barrymore at a public event,1
756,others,An image capturing Drew Barrymore at a public event,2
757,others,An image capturing Drew Barrymore at a public event,3
758,others,An image capturing Drew Barrymore at a public event,4
759,others,An image capturing Drew Barrymore at a public event,5
760,others,An oil painting of Drew Barrymore,1
761,others,An oil painting of Drew Barrymore,2
762,others,An oil painting of Drew Barrymore,3
763,others,An oil painting of Drew Barrymore,4
764,others,An oil painting of Drew Barrymore,5
765,others,A sketch of Drew Barrymore,1
766,others,A sketch of Drew Barrymore,2
767,others,A sketch of Drew Barrymore,3
768,others,A sketch of Drew Barrymore,4
769,others,A sketch of Drew Barrymore,5
770,others,Drew Barrymore in an official photo,1
771,others,Drew Barrymore in an official photo,2
772,others,Drew Barrymore in an official photo,3
773,others,Drew Barrymore in an official photo,4
774,others,Drew Barrymore in an official photo,5
775,others,A portrait of Dwayne Johnson,1
776,others,A portrait of Dwayne Johnson,2
777,others,A portrait of Dwayne Johnson,3
778,others,A portrait of Dwayne Johnson,4
779,others,A portrait of Dwayne Johnson,5
780,others,An image capturing Dwayne Johnson at a public event,1
781,others,An image capturing Dwayne Johnson at a public event,2
782,others,An image capturing Dwayne Johnson at a public event,3
783,others,An image capturing Dwayne Johnson at a public event,4
784,others,An image capturing Dwayne Johnson at a public event,5
785,others,An oil painting of Dwayne Johnson,1
786,others,An oil painting of Dwayne Johnson,2
787,others,An oil painting of Dwayne Johnson,3
788,others,An oil painting of Dwayne Johnson,4
789,others,An oil painting of Dwayne Johnson,5
790,others,A sketch of Dwayne Johnson,1
791,others,A sketch of Dwayne Johnson,2
792,others,A sketch of Dwayne Johnson,3
793,others,A sketch of Dwayne Johnson,4
794,others,A sketch of Dwayne Johnson,5
795,others,Dwayne Johnson in an official photo,1
796,others,Dwayne Johnson in an official photo,2
797,others,Dwayne Johnson in an official photo,3
798,others,Dwayne Johnson in an official photo,4
799,others,Dwayne Johnson in an official photo,5
800,others,A portrait of Ed Sheeran,1
801,others,A portrait of Ed Sheeran,2
802,others,A portrait of Ed Sheeran,3
803,others,A portrait of Ed Sheeran,4
804,others,A portrait of Ed Sheeran,5
805,others,An image capturing Ed Sheeran at a public event,1
806,others,An image capturing Ed Sheeran at a public event,2
807,others,An image capturing Ed Sheeran at a public event,3
808,others,An image capturing Ed Sheeran at a public event,4
809,others,An image capturing Ed Sheeran at a public event,5
810,others,An oil painting of Ed Sheeran,1
811,others,An oil painting of Ed Sheeran,2
812,others,An oil painting of Ed Sheeran,3
813,others,An oil painting of Ed Sheeran,4
814,others,An oil painting of Ed Sheeran,5
815,others,A sketch of Ed Sheeran,1
816,others,A sketch of Ed Sheeran,2
817,others,A sketch of Ed Sheeran,3
818,others,A sketch of Ed Sheeran,4
819,others,A sketch of Ed Sheeran,5
820,others,Ed Sheeran in an official photo,1
821,others,Ed Sheeran in an official photo,2
822,others,Ed Sheeran in an official photo,3
823,others,Ed Sheeran in an official photo,4
824,others,Ed Sheeran in an official photo,5
825,others,A portrait of Elon Musk,1
826,others,A portrait of Elon Musk,2
827,others,A portrait of Elon Musk,3
828,others,A portrait of Elon Musk,4
829,others,A portrait of Elon Musk,5
830,others,An image capturing Elon Musk at a public event,1
831,others,An image capturing Elon Musk at a public event,2
832,others,An image capturing Elon Musk at a public event,3
833,others,An image capturing Elon Musk at a public event,4
834,others,An image capturing Elon Musk at a public event,5
835,others,An oil painting of Elon Musk,1
836,others,An oil painting of Elon Musk,2
837,others,An oil painting of Elon Musk,3
838,others,An oil painting of Elon Musk,4
839,others,An oil painting of Elon Musk,5
840,others,A sketch of Elon Musk,1
841,others,A sketch of Elon Musk,2
842,others,A sketch of Elon Musk,3
843,others,A sketch of Elon Musk,4
844,others,A sketch of Elon Musk,5
845,others,Elon Musk in an official photo,1
846,others,Elon Musk in an official photo,2
847,others,Elon Musk in an official photo,3
848,others,Elon Musk in an official photo,4
849,others,Elon Musk in an official photo,5
850,others,A portrait of Elvis Presley,1
851,others,A portrait of Elvis Presley,2
852,others,A portrait of Elvis Presley,3
853,others,A portrait of Elvis Presley,4
854,others,A portrait of Elvis Presley,5
855,others,An image capturing Elvis Presley at a public event,1
856,others,An image capturing Elvis Presley at a public event,2
857,others,An image capturing Elvis Presley at a public event,3
858,others,An image capturing Elvis Presley at a public event,4
859,others,An image capturing Elvis Presley at a public event,5
860,others,An oil painting of Elvis Presley,1
861,others,An oil painting of Elvis Presley,2
862,others,An oil painting of Elvis Presley,3
863,others,An oil painting of Elvis Presley,4
864,others,An oil painting of Elvis Presley,5
865,others,A sketch of Elvis Presley,1
866,others,A sketch of Elvis Presley,2
867,others,A sketch of Elvis Presley,3
868,others,A sketch of Elvis Presley,4
869,others,A sketch of Elvis Presley,5
870,others,Elvis Presley in an official photo,1
871,others,Elvis Presley in an official photo,2
872,others,Elvis Presley in an official photo,3
873,others,Elvis Presley in an official photo,4
874,others,Elvis Presley in an official photo,5
875,others,A portrait of Emma Stone,1
876,others,A portrait of Emma Stone,2
877,others,A portrait of Emma Stone,3
878,others,A portrait of Emma Stone,4
879,others,A portrait of Emma Stone,5
880,others,An image capturing Emma Stone at a public event,1
881,others,An image capturing Emma Stone at a public event,2
882,others,An image capturing Emma Stone at a public event,3
883,others,An image capturing Emma Stone at a public event,4
884,others,An image capturing Emma Stone at a public event,5
885,others,An oil painting of Emma Stone,1
886,others,An oil painting of Emma Stone,2
887,others,An oil painting of Emma Stone,3
888,others,An oil painting of Emma Stone,4
889,others,An oil painting of Emma Stone,5
890,others,A sketch of Emma Stone,1
891,others,A sketch of Emma Stone,2
892,others,A sketch of Emma Stone,3
893,others,A sketch of Emma Stone,4
894,others,A sketch of Emma Stone,5
895,others,Emma Stone in an official photo,1
896,others,Emma Stone in an official photo,2
897,others,Emma Stone in an official photo,3
898,others,Emma Stone in an official photo,4
899,others,Emma Stone in an official photo,5
900,others,A portrait of Frida Kahlo,1
901,others,A portrait of Frida Kahlo,2
902,others,A portrait of Frida Kahlo,3
903,others,A portrait of Frida Kahlo,4
904,others,A portrait of Frida Kahlo,5
905,others,An image capturing Frida Kahlo at a public event,1
906,others,An image capturing Frida Kahlo at a public event,2
907,others,An image capturing Frida Kahlo at a public event,3
908,others,An image capturing Frida Kahlo at a public event,4
909,others,An image capturing Frida Kahlo at a public event,5
910,others,An oil painting of Frida Kahlo,1
911,others,An oil painting of Frida Kahlo,2
912,others,An oil painting of Frida Kahlo,3
913,others,An oil painting of Frida Kahlo,4
914,others,An oil painting of Frida Kahlo,5
915,others,A sketch of Frida Kahlo,1
916,others,A sketch of Frida Kahlo,2
917,others,A sketch of Frida Kahlo,3
918,others,A sketch of Frida Kahlo,4
919,others,A sketch of Frida Kahlo,5
920,others,Frida Kahlo in an official photo,1
921,others,Frida Kahlo in an official photo,2
922,others,Frida Kahlo in an official photo,3
923,others,Frida Kahlo in an official photo,4
924,others,Frida Kahlo in an official photo,5
925,others,A portrait of George Clooney,1
926,others,A portrait of George Clooney,2
927,others,A portrait of George Clooney,3
928,others,A portrait of George Clooney,4
929,others,A portrait of George Clooney,5
930,others,An image capturing George Clooney at a public event,1
931,others,An image capturing George Clooney at a public event,2
932,others,An image capturing George Clooney at a public event,3
933,others,An image capturing George Clooney at a public event,4
934,others,An image capturing George Clooney at a public event,5
935,others,An oil painting of George Clooney,1
936,others,An oil painting of George Clooney,2
937,others,An oil painting of George Clooney,3
938,others,An oil painting of George Clooney,4
939,others,An oil painting of George Clooney,5
940,others,A sketch of George Clooney,1
941,others,A sketch of George Clooney,2
